Name,Desc,PlantType,Color,HardinessZones,BloomsIn,Height,SoilNeeds,SunNeeds,WaterNeeds,Maintenance
Ornithogalum (Star of Bethlehem),"<p>Ornithogalum, commonly known as Star of Bethlehem, is a genus of <strong>more than 150 species</strong> of bulbous perennials in the <strong>family Asparagaceae</strong>, native to Europe, Asia and southern Africa.<br/>
Ornithogalum blooms in spring or summer and features multiple star-shaped or cup-shaped blooms that rise on long, brilliant green stems above the semi-erect, grass-like foliage. These plants will grow well in light shade or full sun if they get enough water. Plant them in containers, borders, wild gardens, rock gardens or open woodlands, and they will surprise you with their amazing beauty and charm. Plus, they are one of the longest-lasting cut flowers around!</p>","Bulbs, Perennials","The flowers come in white, yellow and orange colors.",4-10,"Spring, Summer",The plant can grow between 10 and 60 cm (4 inches to 2 ft) tall.,"Ornithogalum prefers moist, but well-drained soil. You can grow it in any sandy or loamy soil.","Full sun, Partial sun",avarage,low
Osteospermum (African Daisy),"<p>Osteospermum is a genus of <strong>about 50 species</strong> of annuals, perennials and sub-shrubs in the <strong>family Asteraceae</strong>.<br/>
Osteospermum has beautiful daisy-like flowers in a variety of colors. Like other members of the Asteraceae family, the blooms are actually flower heads composed of a central disc which contains a number of tiny individual flowers known as florets. Most of the species have flat petals, although there are some lovely varieties with spoon-shaped petals. Osteospermums are easy to maintain and will provide an abundance of color for many months.</p>","Annuals, Perennials, Shrubs","The flowers come in numerous colors and shades including blue, purple, mauve, pink, yellow, white and cream.",9-11,"Spring, Autumn, Summer",Osteospermum reaches up to 60 cm (2 ft) in height.,These sun-loving plants prefer well-drained soil of average fertility. They do not appear to be fussy about soil pH.,Full sun,avarage,low
Oxalis (Wood Sorrel),"<p>Oxalis is a genus of <strong>about 500 species</strong> of annuals and perennials in the <strong>family Oxalidaceae</strong>, mostly native to South America and Africa.<br/>
These low-growing plants have brightly colored, funnel-shaped or bowl-shaped flowers, and clover-like leaves which close up at night and open during the day. The flowers are a rich source of nectar which attracts bees, butterflies and flies. Oxalis is cultivated in ornamental purposes and as a source of food.</p>","Annuals, Bulbs, Perennials","The flowers come in shades of yellow, pink, white and purple.",4-11,"Spring, Autumn, Summer",This plant reaches 7 to 30 cm (3 to 12 inches) in height.,"Oxalis prefers moist and well drained soil, but does not like to be in a soggy spot. They have no special soil requirements.","Full sun, Partial sun",avarage,low
Paeonia (Peony),"<p>Paeonia, commonly known as Peony, is a genus of <strong>about 30 species</strong> of perennials and deciduous shrubs or subshrubs in the family <strong>Paeoniaceae</strong>, native to Asia, Southern Europe and North America.<br/>
Peonies produce large, showy flowers in a variety of colors. They are famous for they exquisite and often fragrant flowers, which bloom in late spring and early summer. If cared for properly, Peonies can bloom for over 100 years!</p>","Perennials, Shrubs","Peonies produce red, pink, purple, white and yellow flowers.",2-9,"Spring, Summer","The species range in size from 60 cm to 120 cm (2 to 4 ft) tall. However, Peony trees can grow to 3 metres (10 ft) in height.","The plant likes moist and well drained soil, with a ph level from 6.0 to 7.5.","Full sun, Partial sun",avarage,low
Papaver (Poppy),"<p>Papaver, commonly known as Poppy, is a genus of <strong>about 50 species</strong> of flowering plants in the <strong>family Papaveraceae</strong>, native to Eurasia, Africa and North America.<br/>
These plants have gray-green leaves and colorful, cup-shaped or saucer-shaped flowers. They are one of the most popular wildflowers and one of the world’s most loved plants. Poppies are pleasing to the eye and attract many beneficial insects. They grow in wild, especially in fields and meadows. However, you can use them in flower beds and gardens.</p>","Annuals, Perennials","The flowers bloom in a range of colors, from white, yellow, pink and orange to red and purple.",3-10,"Spring, Summer",Poppy usually grows between 30 and 90 cm (1-3 ft) tall.,"The plant likes well drained soil that is acidic, neutral or alkaline. It tolerates poor soil and drought.","Full sun, Partial sun",avarage,low
Passiflora (Passion Flower; Passion Vine),"<p>Passiflora is a large genus of <strong>more than 500 species</strong> of vines, shrubs and trees, in the <strong>family Passifloraceae</strong>. The vast majority are found in Central and South America.<br/>
The species range in size from dwarf to tall, and come in a wide variety of lovely colors. The unusual flowers have complex and unique structures, from a shallow saucer shape to a long cylindrical or trumpet-shaped tube. Passiflora, also known as Passion Flower, is so exotic and different from any other flower you may have seen!</p>","Annuals, Climbers, Perennials, Shrubs, Trees","Though a wide range of colors exist, the most common are white, purple and blue.",6-11,"Spring, Autumn, Summer","These plants range in size from 60 cm (2 ft) to 20 metres (65 ft), depending on variety.","Passiflora likes soil that is fertile, moist and well drained. Soil pH can be anywhere between 6.0 to 7.5.","Full sun, Partial sun",avarage,medium
Pelargonium (Geranium),"<p>Pelargonium, commonly known as Geranium, is a genus of <strong>about 250 species</strong>, as well as many hybrids and cultivars. The genus belongs to the <strong>family Geraniaceae </strong>and is native to South Africa, Australia and the Middle East. The genus includes annuals and perennials, shrubs and subshrubs, succulents, and both evergreen and deciduous species.<br/>
Pelargoniums come in a variety of sizes, shapes and colors. They are prized for their versatility and colorful flowers which are often bi-colored with decorative stripes. They are great for containers, baskets or trailing down over balconies.</p>","Annuals, Cactus - Succulents, Perennials, Shrubs","The flowers come in shades of red, purple, orange, pink and white, with many bicolored combinations.",8-12,"Spring, Autumn, Summer",Pelargoniums grow from 30 to 180 cm (1 to 6 ft) tall.,"Pelargoniums prefer fertile, moist and well-drained soil. They are not particular about soil pH, but will do best in a soil that is neutral to slightly acidic.","Full sun, Partial sun",avarage,low
Penstemon (Beardtongue),"<p>Penstemon, also known as Beardtongue, is a genus of <strong>more than 200 species</strong> in the <strong>family Plantaginaceae</strong>, native to North America.<br/>
Penstemon produces attractive spikes of tubular or funnel-shaped flowers. The bright, nectar-rich flowers are usually showy and five-petalled. Penstemons are attractive in the garden and have a long season of bloom. They will attract bees, butterflies, moths, flies and hummingbirds to your garden!</p>",Perennials,"Penstemon flowers come in shades of white, yellow, blue, red and purple.",3-10,"Autumn, Summer","This plant grows between 30 cm (1 ft) and 120 cm (4 ft) high, depending on species.","Most Penstemons require moist and well-drained soil. They usually grow on poor, rocky or sandy soils. This plant does not seem to be fussy about the soil pH, but prefers soil with a pH from 5.5 to 7.0.","Full sun, Partial sun",avarage,low
Perovskia (Perovskia),"<p>Perovskia is a genus in the <strong>family Lamiaceae</strong>, native to southwestern and central Asia. The genus consists of <strong>about 10 species</strong> of perennials and sub-shrubs.<br/>
Perovskia produces showy spikes of tiny tubular flowers that bloom in summer and autumn. The foliage is fragrant and produces an aromatic sage-like scent. Perovskia is a beautiful plant and is easy to care for.</p>","Perennials, Shrubs",The flowers come in shades of purple and blue.,4-9,"Autumn, Summer",Perovskia grows up to 150 cm (5 ft) tall.,"This plant does not need a rich soil to grow well, but good drainage is needed. Perovskia thrives in dry soil and requires little water once established. It tolerates a wide range of soil ph.",Full sun,low,low
Petunia (Petunia),"<p>Petunia is a genus of <strong>about 20 species</strong> in the <strong>family Solanaceae</strong>, native to South America.<br/>
This easy to grow plant produces showy, funnel-shaped, single or double flowers that are sweetly perfumed. Petunia is one of the most popular garden plants, with significant ornamental importance. It is perfect for summer flower beds and window boxes. Today, most Petunias are hybrids that are mixes of Petunia and some other flowers.</p>","Annuals, Perennials","Petunias are available in almost all colors except for true blue. The most common colors are white, yellow, pink, red and purple.",8-11,"Spring, Autumn, Summer",The species range in size from 15 cm to 120 cm (6 inches to 4 ft) in height.,"Petunia prefers fertile, moist, but well drained soil, with a pH between 6.0 and 7.0.","Full sun, Partial sun",avarage,low
Phacelia (Scorpionweed),"<p>Phacelia is a genus of <strong>about 60 species</strong> in the <strong>family Boraginaceae</strong>, native to North and South America.<br/>
They develop purple or blue flowers arranged in short clusters or fascicles. Phacelia is versatile and will adapt to a variety of soil conditions as long as it remains well drained. Its eye catching flowers are highly attractive to honeybees and bumblebees.</p>","Annuals, Perennials",The flowers are most commonly seen in shades of purple and blue.,2-10,"Spring, Summer",Phacelia can grow up to 120 cm (4 ft) high.,Phacelia prefers well drained soils within a pH range of 6.5 to 8.5.,"Full sun, Partial sun",low,low
Phlox (Phlox),"<p>Phlox is a genus of about 70 species of annuals and perennials in the family Polemoniaceae, mostly native to North America.<br/>
This plant has thick, strong stems, lance-shaped leaves and clusters of small, star-shaped flowers. The flowers have five petals that come in a wide range of colors.<br/>
They are hardy and easy to grow in a variety of conditions.</p>","Annuals, Perennials","There are many different color varieties available, such as white, yellow, pink, purple, red, lavender, rose, magenta.",2-9,"Spring, Autumn, Summer","Phlox can be found in different sizes, from dwarf species only around 10 cm (4 inches) in height to some reaching 120 cm (4 ft) tall.","Phlox prefers moist, but well drained soil, with a pH level between 5.0 and 6.5.","Full sun, Partial sun",avarage,medium
Platycodon (Balloon Flower; Chinese Bellflower; Japanese Bellflower),"<p><strong>Platycodon grandiflorus</strong>, the sole species in the genus Platycodon, is a herbaceous perennial in the <strong>family Campanulaceae</strong>, native to East Asia.<br/>
It is also known as the “Balloon Flower”, due to its balloon-like buds that burst open into large and beautiful blossoms. When fully opened, the flower closely resembles a star. It has a simple, but pretty blossom with five pointed petals that surround a star-like pistil. It attracts butterflies and is a magnet for birds.</p>",Perennials,"Platycodon come in purple, blue, pink and white.",3-8,"Autumn, Summer",The plant can grow nearly 60 cm (2 feet) tall.,"Platycodon will grow in any good well-drained soil, but prefers sandy soil. It will do best in a slightly acidic soil.","Full sun, Partial sun",avarage,low
